Geo Point,Geo Shape,lib_voie,motdir,no,commune,insee,nb_places,coord_x,coord_y
"43.58528595903238,1.4339246138395092","{""coordinates"": [[1.433924613839509, 43.58528595903238]], ""type"": ""MultiPoint""}",ALL GABRIEL BIENES,BIENES (ALL GABRIEL BIENES),7,TOULOUSE,31555,12,1.433925,43.585286
"43.60619072738277,1.4462119910303362","{""coordinates"": [[1.446211991030336, 43.60619072738277]], ""type"": ""MultiPoint""}",RUE RIVALS,RIVALS (RUE RIVALS),15,TOULOUSE,31555,10,1.446212,43.606191
"43.60612461950579,1.4451980475891655","{""coordinates"": [[1.445198047589165, 43.60612461950579]], ""type"": ""MultiPoint""}",RUE RIVALS,RIVALS (RUE RIVALS),9,TOULOUSE,31555,20,1.445198,43.606125
"43.606137676173034,1.445544363537627","{""coordinates"": [[1.445544363537627, 43.606137676173034]], ""type"": ""MultiPoint""}",RUE RIVALS,RIVALS (RUE RIVALS),9,TOULOUSE,31555,20,1.445544,43.606138
"43.60380573212657,1.4555717342174863","{""coordinates"": [[1.455571734217486, 43.60380573212657]], ""type"": ""MultiPoint""}",BD JULES MICHELET,MICHELET (BD JULES MICHELET),6,TOULOUSE,31555,6,1.45562,43.6041
"43.603480364503746,1.4566578339479024","{""coordinates"": [[1.456657833947902, 43.603480364503746]], ""type"": ""MultiPoint""}",BD PR LEOPOLD ESCANDE,ESCANDE (BD PR LEOPOLD ESCANDE),11,TOULOUSE,31555,6,1.45666,43.6036
"43.66031788913854,1.3646618842584965","{""coordinates"": [[1.364661884258497, 43.66031788913854]], ""type"": ""MultiPoint""}",BD HENRI ZIEGLER,ZIEGLER (BD HENRI ZIEGLER),,BLAGNAC,31069,4,1.36466,43.66
"43.578492721102045,1.4168965408787682","{""coordinates"": [[1.416896540878768, 43.578492721102045]], ""type"": ""MultiPoint""}",RUE PAUL LAMBERT,LAMBERT (RUE PAUL LAMBERT),9,TOULOUSE,31555,8,0,0
"43.609042481776825,1.4450232296359717","{""coordinates"": [[1.445023229635972, 43.609042481776825]], ""type"": ""MultiPoint""}",BD DE STRASBOURG,STRASBOURG (BD DE STRASBOURG),47,TOULOUSE,31555,10,0,0
"43.6086340143447,1.4454372146467143","{""coordinates"": [[1.445437214646714, 43.6086340143447]], ""type"": ""MultiPoint""}",BD DE STRASBOURG,STRASBOURG (BD DE STRASBOURG),41,TOULOUSE,31555,8,0,0
