Geo Point,Geo Shape,infobulle,site,annee_installation,zone_emission,disponibilite,adresse,commune
" 43.58149099427839,1.388121994853366","{""coordinates"": [[1.388121994853366, 43.58149099427839]], ""type"": ""MultiPoint""}",Site Pradettes Adresse : place des Pradettes Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Pradettes,2017,extérieur,24h/24h (avec garantie de service),place des Pradettes,TOULOUSE
" 43.632408999980136,1.4517769961217581","{""coordinates"": [[1.451776996121758, 43.632408999980136]], ""type"": ""MultiPoint""}",Site Les jardins du Muséum 1 Adresse : Avenue Maurice Bourges-Maunoury Année installation : 2017 Zone émission : intérieur et extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Les jardins du Muséum 1,2017,intérieur et extérieur,24h/24h (sans garantie de service),Avenue Maurice Bourges-Maunoury,TOULOUSE
" 43.60863199737346,1.4444320048077606","{""coordinates"": [[1.444432004807761, 43.60863199737346]], ""type"": ""MultiPoint""}",Site Centre culturel Bellegarde Adresse : 17 rue Bellegarde Année installation : 2018 Zone émission : intérieur et extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Centre culturel Bellegarde,2018,intérieur et extérieur,24h/24h (sans garantie de service),17 rue Bellegarde,TOULOUSE
" 43.60967699982273,1.3800100036335505","{""coordinates"": [[1.380010003633551, 43.60967699982273]], ""type"": ""MultiPoint""}",Site Mairie St Martin du Touch Adresse : 2 Rue Sentenac Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie St Martin du Touch,2018,intérieur bâtiment,24h/24h (sans garantie de service),2 Rue Sentenac,TOULOUSE
" 43.6237819962059,1.4385320011033675","{""coordinates"": [[1.438532001103368, 43.6237819962059]], ""type"": ""MultiPoint""}",Site Théatre des Mazades Adresse : 10 Avenue des Mazades  Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Théatre des Mazades,2018,intérieur bâtiment,24h/24h (sans garantie de service),10 Avenue des Mazades,TOULOUSE
" 43.59240999866364,1.3896670055597944","{""coordinates"": [[1.389667005559794, 43.59240999866364]], ""type"": ""MultiPoint""}",Site Petit Capitole Adresse : 153 Avenue de Lardenne Année installation : 2019 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Petit Capitole,2019,intérieur bâtiment,24h/24h (sans garantie de service),153 Avenue de Lardenne,TOULOUSE
" 43.63231299867232,1.451981999883078","{""coordinates"": [[1.451981999883078, 43.63231299867232]], ""type"": ""MultiPoint""}",Site Les jardins du Muséum 2 Adresse : Avenue Maurice Bourges-Maunoury Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Les jardins du Muséum 2,2017,extérieur,24h/24h (sans garantie de service),Avenue Maurice Bourges-Maunoury,TOULOUSE
" 43.58514700337963,1.4358279944250187","{""coordinates"": [[1.435827994425019, 43.58514700337963]], ""type"": ""MultiPoint""}",Site Salle Jean Mermoz Adresse : 7 allées G. Biénès Année installation : 2017 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Salle Jean Mermoz,2017,intérieur bâtiment,24h/24h (sans garantie de service),7 allées G. Biénès,TOULOUSE
" 43.56480899562634,1.4107849942234396","{""coordinates"": [[1.41078499422344, 43.56480899562634]], ""type"": ""MultiPoint""}",Site Mairie Lafourguette Adresse : 1 Place des GLIERES Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie Lafourguette,2018,intérieur bâtiment,24h/24h (sans garantie de service),1 Place des GLIERES,TOULOUSE
" 43.57761999609819,1.4401160026191284","{""coordinates"": [[1.440116002619128, 43.57761999609819]], ""type"": ""MultiPoint""}",Site Mairie Empalot Adresse : Place d'EMPALOT Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie Empalot,2018,intérieur bâtiment,24h/24h (sans garantie de service),Place d'EMPALOT,TOULOUSE
" 43.614383001589964,1.4745019953415064","{""coordinates"": [[1.474501995341506, 43.614383001589964]], ""type"": ""MultiPoint""}",Site Centre animation Soupetard Adresse : 63 Chemin HEREDIA Année installation : 2018 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Centre animation Soupetard,2018,intérieur bâtiment,24h/24h (sans garantie de service),63 Chemin HEREDIA,TOULOUSE
" 43.64168100113523,1.4533869936304005","{""coordinates"": [[1.4533869936304, 43.64168100113523]], ""type"": ""MultiPoint""}",Site Maison municipale des familles Adresse : Boulevard André Netwiller Année installation : 2019 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Maison municipale des familles,2019,intérieur bâtiment,24h/24h (sans garantie de service),Boulevard André Netwiller,TOULOUSE
