Geo Point,Geo Shape,rue,motdir,id_seg_ges,commune,code_insee,codsti,nrivoli,pole,longueur,id_seg_obs,type,arrete,sensunique,doublesens_cyclable
"43.6109374184646,1.4402555627747735","{""coordinates"": [[[1.440493845212805, 43.61089436583374], [1.440017280336742, 43.610980471095466]]], ""type"": ""MultiLineString""}",RUE ESCOUSSIERES A BERNARD,BERNARD (RUE ESCOUSSIERES A BERNARD),3232,TOULOUSE,31555,3.15553E+11,3105553056,Centre,40,3232,Aire Pietonne,17/196,oui,oui
"43.610816073125065,1.440883047267744","{""coordinates"": [[[1.441272249322683, 43.6107377804164], [1.440493845212805, 43.61089436583374]]], ""type"": ""MultiLineString""}",RUE ESCOUSSIERES A BERNARD,BERNARD (RUE ESCOUSSIERES A BERNARD),3228,TOULOUSE,31555,3.15553E+11,3105553056,Centre,65,3228,Aire Pietonne,17/196,oui,oui
"43.60927806903238,1.4408266275858799","{""coordinates"": [[[1.441314964523722, 43.60891670664795], [1.440652948173134, 43.60931463944179], [1.440492542276842, 43.60976561736697]]], ""type"": ""MultiLineString""}",RUE GATIEN ARNOULT,ARNOULT (RUE GATIEN ARNOULT),3243,TOULOUSE,31555,3.15553E+11,3105553780,Centre,121,3243,Aire Pietonne,17/196,oui,oui
"43.610688586495954,1.4415119318122356","{""coordinates"": [[[1.441751614301788, 43.6106393925755], [1.441272249322683, 43.6107377804164]]], ""type"": ""MultiLineString""}",RUE ESCOUSSIERES A BERNARD,BERNARD (RUE ESCOUSSIERES A BERNARD),3225,TOULOUSE,31555,3.15553E+11,3105553056,Centre,40,3225,Aire Pietonne,17/196,oui,oui
"43.610553104879756,1.4404110679872504","{""coordinates"": [[[1.440328290761696, 43.61021184392577], [1.440493845212805, 43.61089436583374]]], ""type"": ""MultiLineString""}",RUE DE L HIRONDELLE,HIRONDELLE (RUE DE L HIRONDELLE),3229,TOULOUSE,31555,3.15553E+11,3105554236,Centre,77,3229,Aire Pietonne,17/196,oui,oui
"43.6093985576809,1.4390032387048772","{""coordinates"": [[[1.438879194963093, 43.60933465852833], [1.439127282446662, 43.60946245683346]]], ""type"": ""MultiLineString""}",PL DES TIERCERETTES,TIERCERETTES (PL DES TIERCERETTES),5400,TOULOUSE,31555,3.15557E+11,3105558480,Centre,25,5400,Aire Pietonne,17/196,,
"43.605005164570805,1.438350079184147","{""coordinates"": [[[1.438810540343203, 43.60445870653604], [1.438765827805264, 43.60466176299704], [1.438755905348188, 43.60480171466924], [1.438798494546772, 43.6049136940488], [1.438204375630141, 43.60511335286267], [1.437591687956312, 43.60533650590524]]], ""type"": ""MultiLineString""}",RUE DE LA BASTIDE,BASTIDE (RUE DE LA BASTIDE),3127,TOULOUSE,31555,3.15551E+11,3105550904,Centre,159,3127,Aire Pietonne,18/122,oui,oui
"43.594716476710985,1.4439563318324742","{""coordinates"": [[[1.443918115613249, 43.5945297839765], [1.443994548051699, 43.594903169445466]]], ""type"": ""MultiLineString""}",PL DU SALIN,SALIN (PL DU SALIN),4847,TOULOUSE,31555,3.15556E+11,3105558116,Centre,42,4847,Aire Pietonne,22/008,oui,oui
"43.604407986539215,1.4540223801823675","{""coordinates"": [[[1.454180926070676, 43.604251220366336], [1.453863834294059, 43.6045647527121]]], ""type"": ""MultiLineString""}",RUE MAURY,MAURY (RUE MAURY),6559,TOULOUSE,31555,3.15555E+11,3105555828,Centre,43,6559,Aire Pietonne,21/072,oui,oui
"43.604241904555835,1.4460310652817971","{""coordinates"": [[[1.445670941771451, 43.60426694502835], [1.445773426815221, 43.60429141406144], [1.446392225400809, 43.604179902314826]]], ""type"": ""MultiLineString""}",RUE DU POIDS DE L HUILE,HUILE (RUE DU POIDS DE L HUILE),4693,TOULOUSE,31555,3.15555E+11,3105556972,Centre,60,4693,Aire Pietonne,19/129,oui,oui
"43.60407858833474,1.4449640238287134","{""coordinates"": [[[1.444248970563861, 43.603933066646846], [1.444596044264899, 43.60396985772194], [1.445670955530473, 43.60426689119928]]], ""type"": ""MultiLineString""}",RUE DU POIDS DE L HUILE,HUILE (RUE DU POIDS DE L HUILE),4625,TOULOUSE,31555,3.15555E+11,3105556972,Centre,121,4625,Aire Pietonne,19/129,oui,oui
"43.604369345408216,1.4466673998169401","{""coordinates"": [[[1.446392251543249, 43.6041798486521], [1.446942548090631, 43.60455884216433]]], ""type"": ""MultiLineString""}",RUE LAPEYROUSE,LAPEYROUSE (RUE LAPEYROUSE),4696,TOULOUSE,31555,3.15554E+11,3105555012,Centre,61,4696,Aire Pietonne,19/129,oui,oui
"43.60064494833873,1.4430999237666868","{""coordinates"": [[[1.442466495733479, 43.60054232483582], [1.442742979130167, 43.60059748963548], [1.443074059742333, 43.60065781835296], [1.443471893004989, 43.60069501774114], [1.443738672283479, 43.60070280506713]]], ""type"": ""MultiLineString""}",RUE MALCOUSINAT,MALCOUSINAT (RUE MALCOUSINAT),1,TOULOUSE,31555,3.15554E+11,3105555536,Centre,104,1,Aire Pietonne,11/001,,
"43.56853378604156,1.415456228903411","{""coordinates"": [[[1.413881707784598, 43.56851636031892], [1.414397573637576, 43.56881759927152], [1.414486928148945, 43.5688457701927], [1.414593533900339, 43.56885136540557], [1.414733120364351, 43.568827020587875], [1.414996120053448, 43.56873264582807], [1.415185196692818, 43.56870675584488], [1.415626787687031, 43.56859113489052], [1.41603091534677, 43.56845722763463], [1.416354067580866, 43.568345327435544], [1.416655364373563, 43.568213429289905], [1.416780729970613, 43.56809996023907], [1.416958222615029, 43.567897036149844]]], ""type"": ""MultiLineString""}",IMP MARTYRS DE BORDELONGUE,BORDELONGUE (IMP MARTYRS DE BORDELONGUE),3793,TOULOUSE,31555,3.15558E+11,3105555743,Sud,294,3793,Aire Pietonne,10/xxx,,
"43.60408210989739,1.4498931461844915","{""coordinates"": [[[1.449779531296223, 43.603770310738454], [1.449930013934525, 43.60424828236724], [1.45007841672543, 43.60433744192373]]], ""type"": ""MultiLineString""}",RUE PIERRE BAUDIS,BAUDIS (RUE PIERRE BAUDIS),8502,TOULOUSE,31555,3.15556E+11,3105556854,Centre,70,8502,Aire Pietonne,11/112,oui,oui
"43.60192079252123,1.4427279548965233","{""coordinates"": [[[1.442760611389592, 43.60185597817809], [1.442718070238414, 43.60191429847913], [1.442716909221257, 43.601992828417025]]], ""type"": ""MultiLineString""}",VA VA008105,(VA VA008105),8105,TOULOUSE,31555,31555A008105,31055,Centre,16,8105,Aire Pietonne,11/097,oui,oui
"43.60187960617259,1.4445562658524511","{""coordinates"": [[[1.444277386610211, 43.60185375260575], [1.444835145094691, 43.60190545973943]]], ""type"": ""MultiLineString""}",RUE DU PUITS VERT,VERT (RUE DU PUITS VERT),4655,TOULOUSE,31555,3.15556E+11,3105557188,Centre,45,4655,Aire Pietonne,11/100,oui,oui
